english,german,french
Cough,Husten,Toux
Shortness of breath,Atemnot,Essoufflement
Chest pain,Brustschmerzen,Douleur thoracique
Wheezing or whistling breath,Keuchen + pfeifende Atmung,Sifflement
Excessive mucus production,Schleimproduktion,Production excessive de mucus
Fever,Fieber,Fièvre
Fatigue,Müdigkeit,Fatigue
Runny or stuffy nose,Schnupfen,Nez qui coule ou congestionné
Sore throat,Halsschmerzen,Mal de gorge
Headache,Kopfschmerzen,Mal de tête
Muscle or joint pain,Muskelschmerzen + Gelenkschmerzen,Douleurs musculaires + Douleurs articulaires
Loss of smell or taste,Verlust des Geruchssinn + Verlust des Geschmackssinns,Perte de l'odorat + Perte du goût
Weakness,Schwächegefühl,Faiblesse
Dizziness,Schwindel,Vertiges
Nausea or vomiting,Übelkeit + Erbrechen,Nausées + vomissements
Diarrhea,Durchfall,Diarrhée
Skin rash or itching,Hautausschlag + juckende Haut,Éruption cutanée + démangeaisons
Chills,Schüttelfrost,Frissons
Blood in phlegm,Blutiger Auswurf + Bluthusten,Présence de sang dans les crachats
Confusion or disorientation,Verwirrung + Desorientierung,Confusion + désorientation